"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","239","0 South Street, Plymouth","4/1/2019 - 6/30/2019, Every day, Daily Average",4044,3067,5330
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","241","100 Colborne Road, Brighton, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1536,1174,2007
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","242","0 Park Street, Charlestown, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",900,590,1370
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","243","0 San Juan Street, South End, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1272,879,1839
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","244","500 Columbus Avenue, South End, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1262,892,1783
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","245","100 Saint Alphonsus Street, Mission Hill, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1461,1075,1984
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","246","300 Mount Vernon Street, Dorchester, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1229,814,1853
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","247","0 Bowdoin Avenue, Dorchester, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1654,1085,2519
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","248","0 Evans Street, West Codman Hill / West Lower Mills, Dorchester Center, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1647,1155,2347
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","249","200 River Street, Mattapan, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1765,1277,2439
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","250","0 Gretter Road, West Roxbury, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",2025,1548,2648
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","251","0 Grotto Glen Road, Jamaica Plain, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1570,1178,2091
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","252","0 Grove Street, West Roxbury, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",2614,1959,3487
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","253","0 Kimball Road, Chelsea","4/1/2019 - 6/30/2019, Every day, Daily Average",1046,750,1458
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","254","1200 North Shore Road, Revere","4/1/2019 - 6/30/2019, Every day, Daily Average",763,510,1139
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","255","Rosedale Avenue, Forest Hills / Woodbourne, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1796,1329,2426
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","257","0 Sunrise Avenue, Indian Hill, Worcester","4/1/2019 - 6/30/2019, Every day, Daily Average",4194,3384,5196
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","259","0 Foster Street, Central Business District, Worcester","4/1/2019 - 6/30/2019, Every day, Daily Average",3976,3154,5011
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","261","0 6th Street, Arefth, Cambridge","4/1/2019 - 6/30/2019, Every day, Daily Average",1041,729,1485
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","263","0 West Main Street, Westborough, Westborough","4/1/2019 - 6/30/2019, Every day, Daily Average",3264,2559,4161
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","265","300 Davol Street, Fall River","4/1/2019 - 6/30/2019, Every day, Daily Average",4488,3536,5695
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","268","0 Congress Street, Salem","4/1/2019 - 6/30/2019, Every day, Daily Average",2507,1988,3161
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","270","0 Sugar Hill Circle, Methuen","4/1/2019 - 6/30/2019, Every day, Daily Average",2434,1837,3224
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","272","0 Litchfield Terrace, The Acre, Lowell","4/1/2019 - 6/30/2019, Every day, Daily Average",2916,2383,3567
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","273","500 Trull Road, North Tewksbury, Tewksbury","4/1/2019 - 6/30/2019, Every day, Daily Average",2760,2067,3684
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","274","0 Jensen Avenue, Chelmsford","4/1/2019 - 6/30/2019, Every day, Daily Average",2767,2112,3624
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","275","0 Theresa Road, Stoneham","4/1/2019 - 6/30/2019, Every day, Daily Average",1665,1236,2242
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","276","0 Howard Street, Malden","4/1/2019 - 6/30/2019, Every day, Daily Average",1343,983,1833
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","277","0 Edwin H Land Boulevard, East Cambridge, Cambridge","4/1/2019 - 6/30/2019, Every day, Daily Average",952,637,1422
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","278","0 Kingman Road, Acton","4/1/2019 - 6/30/2019, Every day, Daily Average",3280,2570,4186
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","279","200 Seminole Avenue, Lakeview, Waltham","4/1/2019 - 6/30/2019, Every day, Daily Average",2068,1608,2658
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","280","0 Linder Terrace, Hunnewell Hill, Newton","4/1/2019 - 6/30/2019, Every day, Daily Average",1208,883,1650
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","281","0 Meadowbrook Road, Quincy","4/1/2019 - 6/30/2019, Every day, Daily Average",1890,1276,2797
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","282","0 Pleasant View Avenue, Braintree","4/1/2019 - 6/30/2019, Every day, Daily Average",2366,1581,3538
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","283","0 Squibnocket Road, Franklin","4/1/2019 - 6/30/2019, Every day, Daily Average",3405,2683,4320
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","284","0 Nursery Street, Whitman","4/1/2019 - 6/30/2019, Every day, Daily Average",2912,2210,3835
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","285","100 Foster Street, Brighton, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1580,1188,2099
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","286","0 Border Street, East Boston, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",435,240,787
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","287","0 Murray Way, South Boston, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1464,892,2401
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","288","0 Wakullah Street, Roxbury, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1196,854,1673
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","289","500 Baker Street, West Roxbury, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",2294,1764,2982
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","290","100 Tremont Street, Boston","4/1/2019 - 6/30/2019, Every day, Daily Average",1016,690,1494
"1048","Airport Road - Arrival Level, Airport Rd - Arrival Level, Boston, MA","291","200 Lincoln Street, Brittan Square, Worcester","4/1/2019 - 6/30/2019, Every day, Daily Average",3817,3125,4661
